ID,Gender,Age,write_1,write_2,draw_1,draw_2,exam_draw,exam_write
1136,male,59,0.625,0,0.25,0.125,0.75,0.5
1137,female,18,0.5,0.125,0.625,0.25,1,1
1138,female,20,0.75,0.25,0.75,0.5,1,0.5
1139,female,19,0.5,0.125,0.75,0.125,0.5,1
1140,female,19,0.75,0,0.625,0.25,1,1
1141,female,18,0.125,,0.375,,,
1142,male,19,0.375,0.5,0.75,0.125,0.5,0.75
1143,male,22,0.125,0.125,0.875,0.25,1,0.75
1144,male,23,0.25,0,0.25,0,0.5,0.5
1145,female,22,0.625,0.375,0.625,0.625,1,1
1146,male,19,0.375,0.25,0.625,0.125,1,1
1147,female,20,0.75,0.5,0.625,0.375,1,0.75
1148,female,19,0.375,0,0.625,0.125,0,0.5
1149,female,18,0.5,0.25,0.375,0.25,1,1
1150,female,19,0.625,0.375,0.625,0.375,1,0.75
1151,female,28,0.375,,0.25,,,
1152,female,20,0.25,0.375,0.5,0.25,,
1153,female,18,0.5,0.375,0.625,0.375,1,1
1154,female,18,0.5,0.5,0.375,0.25,,
1155,male,18,,0.125,,0.125,,
1156,female,18,0.5,0.25,0.625,0.25,0.5,1
1157,female,18,0.125,0.125,0.5,0.125,1,0.5
1158,female,26,1,0.875,1,1,1,1
1159,male,19,0.375,0.25,0.375,0.25,1,1
1160,female,19,0.375,0.375,0.625,0.375,0.5,0
1161,female,21,0.75,0.375,0.75,0.5,,
1162,male,19,0,0.25,0.125,0.125,0.5,0.5
1163,female,19,0.25,0.125,0.25,0.25,1,0.25
1164,female,21,0.625,0.25,0.875,0.625,1,1
1165,male,24,0.25,0,0.25,0.25,0.75,1
1166,female,21,,0.125,,0.125,1,1
1167,female,20,0.375,,0.5,,,
1168,male,19,0.25,0.25,0.5,0.375,1,1
1169,male,23,,0.25,,0,0,0.75
1170,female,19,0.125,0.125,0.125,0.25,,
1171,male,19,0.625,0.375,0.75,0.375,,
1172,male,21,0.25,,0.125,,,
1173,male,18,0.375,0.125,0.5,0.5,1,0.5
